ACROBATICS,ANIMAL HANDLING,STEALTH,SURVIVAL,RELIGION,SLEIGHT OF HAND,PERFORMANCE,PERSUASION,NATURE,PERCEPTION,INVESTIGATION,MEDICINE,INSIGHT,INTIMIDATION,DECEPTION,HISTORY,ARCANA,ATHLETICS,STRENGHT,INTELIGENCE,WISDOM,CHARISMA
Freeing yourself from grapples and the like,Handle an Animal,Hiding,Tracking,"Recalling lore about deities, temples and rituals",Stealing from people without being noticed,Singing,Convincing someone to do what you want,"Recalling lore about beasts, plants, terrain, types of vegetation and weather",Spotting/hearing hidden threats,Searching someone or an area,Stabilizing someone,Identifying whether someone is being deceitful or evasive in answering,Intimidating (duh) someone into doing what you want,Lying (duh),"Recalling lore about families, events, places and heraldry",Recall lore about magic items and spells,Shoving creatures,"Force open a stuck, locked, or barred door",Communicate with a creature without using words,Get a gut feeling about what course of action to follow,"Find the best person to talk to for news, rumors, and gossip"
Squeezing through tight spaces without losing movement,Push an Animal,Moving without being heard,Foraging food,Performing a ritual according to specification,Juggling,Dancing,Debating,Knowing what plants are needed to make certain compounds/potions,Recognizing someone who's far away,Seeing through illusions,Noticing a certain disease in someome,Noticing what a person plans by what they're doing,Torturing someone,Fake crying,Remembering anniversaries of important happenings,"Recognizing the functions of magic accessories, such as a wizard's spellbook or a warlock's tome",Grappling creatures,Break free of bonds,Estimate the value of a precious item,Discern whether a seemingly dead or living creature is undead,Blend into a crowd to get the sense of key topics of conversation
Balancing on thin/fragile surfaces without falling,Rear a Wild Animal,Mingling in a crowd,Hunting wild game,Knowing what would be offensive to a certain faith,Putting something on someone without being noticed,Telling stories,Knowing how to behave in a given social setting,Identifying poisonous/dangerous food,Finding minute details,Finding more about rumors,Providing long-term treatment,Telling if someone is following you rather than just going in the same direction,Taunting someone into violence,Disguise emotions (such as pretending to like seeing a man tortured),Telling when/where a certain item was made,Identifying a spell in a scroll/book,"Going through rough terrain, such as stairs, without losing movement",Push through a tunnel that is too small,Pull together a disguise to pass as a city guard,,
Landing on your feet after a fall,Calm an Animal,Following someone,Protecting yourself from weather/terrain hazards such as sunburn and mosquitoes,Know about Religion,Picking a weapon from the air,Delivering a good speech,Flattering someone,Harvesting poisons from plants/beasts,Identifying a noise's source,Locating someone in an urban environment,Knowing the body's limits related to a certain physical activity,Perceiving if someone is being mentally dominated,Change Attitude,Playing dead,Noticing a person's origins based on their looks or customs,"Controlling a wild magic item/effect, such as a Sphere of Annihilation",Jumping a certain height/distance,Hang on to a wagon while being dragged behind it,Forge a document,,
"Ignoring falling damage, such as falling from a cart",Teach an Animal a Trick,Avoid Being Seen,Finding water,Know about Undead,Concealing belongings in yourself,Impersonate,Seducing someone,Detecting strange weather changes,Hear a Sound,Searching for specific information in books/libraries,Knowing the dosages and uses for natural healing items,Getting the meaning of underlying messages,Demoralize Opponent,Passing yourself for someone else,Know about History,Disarming magic traps,Swimming in rough currents/in heavy armor,Tip over a statue,Recall lore about a craft or trade,,
Tumbling,Train an Animal for a Purpose,Sniping,Knowing which way is north,Find Your Way around Church,Performing gestures or messages without being noticed,Put on a Gladiatorial Performance,Change Attitude,Know about Geography,Eavesdrop,Search an Area,"Dissecting a body, or removing something from it",Avoid being Bluffed,Direct a Crowd,Being cool' if seen while following someone,Deducing a Command Word,Understanding properties of spells cast by others,Acting in mid-air,Keep a boulder from rolling,Win a game of skill,,
Moving on a Narrow Surface,Ride,Blend into a Crowd,Avoid getting lost,"Recall lore about deities, rites and prayers, religious hierarchies, holy symbols, and the practices of secret cults.ecall lore about deities, rites and prayers, religious hierarchies, holy symbols, and the practices of secret cults.",Palm Object,Put on a Show,Mediate,Know about Nature,Observe Creature,Frisk a Person,First Aid,Hunch,"Pry information out of a prisoner, convincing street thugs to back down from a confrontation, or using the edge of a broken bottle to convince a sneering vizier to reconsider a decision.pry information out of a prisoner, convincing street thugs to back down from a confrontation, or using the edge of a broken bottle to convince a sneering vizier to reconsider a decision.",Fast Talking or Misdirection,Know about the Nearby Area,Identifying spells being cast,Climb Wall or Cliff,,,,
Charging or Running on a Difficult Surface,Guide with Knees,Move between Cover,Making a decent campsite in extreme conditions,,Conceal Object,"Delight an audience with music, dance, acting, storytelling, or some other form of entertainment.",Haggle,"Know about Animals, Fey, Giants, Monstrous Humanoids, Plants and Vermin",Read Lips,Determine an Object’s Function,Long-Term Care,Sense Enchantment,,Feinting in Combat,Know about Local Humanoids,Know about Arcana,Create Handholds,,,,
Moving through Trees,Stay in Saddle,Tailing Someone,Setting a Course,,Steal Object,,Direct a Crowd,"Recall lore about terrain, plants and animals, the weather, and natural cycles.",Spotting,Finding a Trail Sign,Treat Movement Injury,Discern Secret Message,,Create a Diversion in Order to Hide,Interpret Tribal Tattoos,"Know about Constructs, Dragons, or Magical Beasts",Climb Tree,,,,
Moving Along an Unstable Surface,Use Mount as Cover,Move Silently,Finding Resources,,Tie a Knot,,Find Your Way around Court,,"Spot, hear, or otherwise detect the presence of something. It measures your general awareness of your surroundings and the keenness of your senses. For example, you might try to hear a conversation through a closed door, eavesdrop under an open window, or hear monsters moving stealthily in the forest. Or you might try to spot things that are obscured or easy to miss, whether they are orcs lying in ambush on a road, thugs hiding in the shadows of an alley, or candlelight under a closed secret door.",,Treat Disease,Assess Opponent,,Appear Innocuous,Know about Nobility and Royalty,Deducing a Command Word,Rapelling,,,,
