skill,backward_text,check_line,original_name
Perception,"going weekly for the rest of the experimental arcs [ Woohoo!] starting this week. So, um, I guess actually we have an episode— I hope we don’t screw it up!"," Yeah, no, me too. I don’t know why you would even say that. Um, so, let’s get started! Monster of the Week is a game sort of modeled after, appropriately enough, like, monster-of-the-week shows like, uh, Buffy and Supernatural. In which, in each sort of arc, there is a monster that a team of hunters has to hunt down. It is a game that is part of the Powered by the Apocalypse system which, if you listen to the Balance arc, is sort of what I based the Stolen Century episodes on. It is a very— it’s sort of like the d20 system, right? That covers a lot of different games, like D&D and Pathfinder. Uh, it is sort of just like a broad rule set that you can put a bunch of different stuff on top of to make it fit whatever genre you want it to fit. And there’s a ton of very cool games that use the Powered by the Apocalypse system. Uh, I was inspired to do an Apocalypse game because of one of my favorite podcasts, Friends at the Table, which has done a bunch of really cool ones in sci-fi worlds and fantasy worlds and all kinds of stuff. But Monster of the Week is sort of this, this monster-of-the-week sort of horror but like, campy horror? Uh, thing that’s going on here? And the basic rule that covers pretty much everything in Monster of the Week and all the Apocalypse games, is that whenever something comes up that is not, like, an automatic thing, like is something that is dangerous or a conflict, or something that would be covered by like a D&D move, like, oh, you have to roll a perception check if you wanna actually notice that thing, all that stuff is in here, but instead of rolling a 20-sided dice, you roll two six-sided dice, and then one of three things happens. Either you roll a six or below, and you have fucked up. You have fucked up now. And something goes horribly wrong sort of at my discretion. I’ll be GMing this game, they actually call the GM in this game The Keeper which is, like, so great to me? That the fiction of the game extends out of the game, like, Stranger Things style. So, six or below is a miss. A seven to nine is a mixed success, where you get to do the thing you wanna do, but usually there is a cost. And then a 10 plus is “You crushed it,” and you get to do what you wanna do, and usually it’s just all great. ",Perception
Performance,"by, like, logic, you know what I mean? So I can’t be like, “I wanna Help Out by…” [inhaling sharply through teeth] Ssssssssssssss... Ooooh, logic. “...pulling the sun down.” Yeah."," [laughs] If you try to— if you try to play this like a game that you’re trying to win constantly, I do not think it’s gonna work. If rolls a six, and neither of you are, like, anywhere close to him, but you really wanna get him up to that seven, and so you’re like, “Ohhh can I think of some way to bullshit this so that it can help out,” like, no. There are going to be lots of failures in this game, and lots of mixed successes in this game, and that’s what makes this stuff, like, so, so interesting, and it’s what gives this game kind of a sense of danger. I don’t think that we’re gonna get to this point in this mini arc, but one of the things that I think is cool about this game is players, like… because of how narrow the margin of error is in fights, for instance, death is, like, pretty common. Not as much as some of the Lovecraftian RPGs where it’s like, “Oh no,” and then you are like, you evaporated again. But it is common, and there are systems for retiring your characters and rolling new ones and then giving that character over to the Keeper to use in whatever story in whatever way they want, which I think is really cool. and ",Craft
Investigation,"success, you open yourself up to repercussions. To, like, the same reper— so you can help out, yeah, but you are also exposing yourself to danger, which is real smart."," Uh, Investigate A Mystery, which is pretty much like your insight checks, your investigation checks. And what’s cool about that is what you earn when you get a 10 or above, or a 7 or 9, you earn what’s called Holds. And in Investigate A Mystery, the Holds will let you ask these questions, one Hold per question. ",Investigation
Insight,"success, you open yourself up to repercussions. To, like, the same reper— so you can help out, yeah, but you are also exposing yourself to danger, which is real smart."," Uh, Investigate A Mystery, which is pretty much like your insight checks, your investigation checks. And what’s cool about that is what you earn when you get a 10 or above, or a 7 or 9, you earn what’s called Holds. And in Investigate A Mystery, the Holds will let you ask these questions, one Hold per question. ",Insight
Perception,"play in the NFL!” and he was like “No.” There’s some really- we haven’t— I really like this idea of a Chosen that’s just like [crosstalk] “No, no thank you!”"," [crosstalk] “No, thanks.” I mean, that’s very, very, very cool from, like, my perspective, because then I have ways of, like, trying to tempt you into- we talked about this not going to be an ongoing, like, every episode Duck’s like “Ehhh, I dunno!” like, this is a story about this coming to a head. I wanna talk about about the moves really, really, really fast just to, like, highlight a couple of them in Duck’s, like, category, ‘cause this is what sold the game for me, were the playbooks and the special moves, ‘cause they are so perfectly tailored to hit this genre, and try to take the things that you, like, love about the characters in this monster of the week genre and turn them into game mechanics. So, like, the Chosen has a move called “The Big Entrance” where you make a showy entrance into a dangerous situation and, if you roll really good, everybody has to stop and listen to your speech. [ laughs] Like, it’s a way of, like, setting up different scenes in the way that you want them. There’s… ",Listen
Medicine,"you are dealing with the consequences of your own spellcasting. That’s definitely this. Um. Yeah so- but if it’s Weird, I rolled an eight plus two so it’s a 10."," Okay. I think with a plus 10, you contain the fire. You see it start to retreat off the edges of the curtain, that sort lines the back of this room, and sort of retreat off the ceiling a little bit where it had started to spread. It’s still definitely burning somewhat, but you get the sense that you have essentially like, saved this building. Um, I will also say that the fire and heat and smoke of this situation is now powerful enough that it’s becoming kind of unbearable to be in this place. But with your control, you controlled the fire, you almost spoke to the fire and made it calm, somewhat. You have saved this building from being completely destroyed, but if you stay here any longer it’s going to be bad for your health. Aubrey",Heal
Perception,"booze in a Arnold Palmer. I mean, sometimes there is. Arnold Palmer loves to party. [ and laugh] That's true, yeah. [chuckles] Sometimes there is booze in an Arnold. [Laughter]"," He walks over to the desk and you all now seated at this large table in the center of the room. He rolls out a big map of Kepler, which I still need to generate. Hey, listeners! If you know of any good software to make a nice lookin’ map of, like— ",Listen
Stealth,"no. Yeah, so go ahead and mark experience. Yes, but don't you see? I don't want to have failed. [crosstalk] Did you think about it that way? [crosstalk] Mmm, interesting."," An interesting concept. Uh, you mark exp. You also hear the door to the main office here open up, and you see Todd with one of his nudie magazines rolled up and he's got it kinda in his armpit as he walks in trying to hide it. And he walks into the room and sees you and the raunchy mag falls to the ground dramatically in slow-motion. And he says",Hide
Athletics,"he’s kind of leaning backwards, shooting at the snake along the length of its watery body, and basically heading towards one of the big water slides, just away from them."," Here’s what happens. You do this sick dodge roll out of the way and the snake rolls past you, and now you’re sort of running parallel alongside it as it continues its trajectory past you, just firing bolt after bolt into its side. It takes 2 harm, and one of the bolts, I think, hits it close to its head, and as that happens, you see the snake form, just for a moment, kind of spasm, and a bunch of water sort of shoots out of the side of it, almost like it had this surface tension containing all of it that it just sort of loses at a few points, and water just spills out of it. And you manage to get past it, but it does a quick u-turn, you know, 30 feet behind you, and then starts chasing you towards the water slides. The water slides at the back of the park, there are three main, large water slides. They are all built into the same tall wooden tower, with staircases leading up it, with a line sort of separated into three parts where people, you know, wait in line and then get to the slide that they want to go on and disembark from there. But it’s all part of this one central structure, and you run towards that direction. And it is gaining on you and gaining on you, and right as you hit the pool at the base of this water slide structure, it finally catches up to you and collides with you, knocking you forward. The tremendous force, though, of this thing just barrelling to you, hits you and knocks you into the water for 2 harm. And it continues its path and sort of travels over you as you are now in the pool, not unconscious like your friend Duck but sort of dazed from the force of the impact. And as you look upwards, you see the snake start to lift up and away from the surface of the pool, and it begins to climb this wooden tower, this tower of slides. And then you see the water from the pool that you’re actually in start streaming upwards, like a, like a sink faucet that’s been left on, and it’s pouring water upward and out of the pool. And then you see a few more appear, and then dozens more, until like a hundred streams of water are pouring upward as this snake starts coiling around this wooden tower, just twisting all around it, weaving between the stairwells leading to its peak, and soon the water from the pool floats up and joins it, and now it’s no longer a snake coiled around this wooden tower of slides. Now it is just a mountain of water, just completely engulfing the whole structure. You can see sort of silhouetted from the floodlights shining into this mountain of water from behind, you see pieces of the slides start to break apart. {50",Climb
Medicine,"I just think it’s information we need. ’s gonna Investigate a Mystery. Ok. And… Roll plus Sharp. [ rolls] That’s very bad. [quietly] Shit. You did a bad job, Dad."," rolled a five. There is no recovering from that. I’m going to take a hard move here, the hard move is that the goatman that is embedded in the roots of the tree— I will call him “shears goatman”— starts to move. And he sort of wrestles with these roots that are all over him, and he pulls himself out of the roots and tree. As he emerges from the tree, you realize that he has merged with this white bark. It is growing out of him, now. It is forming around his spine like a brace. You get the impression that this thing probably broke its back when Aubrey flung him against a tree and now the tree has healed him in a way by giving him this external chitin made of this white bark, but it has like corrupted him in a way, it’s sticking out in this huge gnarled lump that extends just over his head, and his eyes are clear white. And he picks up his shears, and starts walking towards you, . Uhhh… Aubrey! ",Heal
