"selection1_header","selection1_transcript"
"Flame-Broiled: A Piazza Delivery (Pt. 1)","Flame-Broiled: A Piazza Delivery (Pt. 1)
The party heads out for a night of relaxation. But short on friends and short on coin, they're forced to make a hard decision that could get one of them killed.
Powered by RedCircle
Our Sponsors:
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music and additional scoring by Alex Nakarada of SerpentSound Studios
Additional Music by:
- ""Mystery sax"", ""Bass Walker"", ""Hard Boiled"", ""Waltz of the Carnies"", ""Cool Vibes"", ""Miami Nights""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"The After Party - David Huynh","The After Party - David Huynh
Welcome to The After Party, an interim program where we sit down with the voices behind your favorite characters and discuss the people behind the dice. This time we're chatting with our newest cast member, David Huynh!
Our Sponsors
Featured
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Featuring:
Brian David Judkins
David Huynh
Sound Capture by Brian David Judkins
Theme Music by Alex Nakarada of SerpentSound Studios
Edited and Mixed by Ned Donovan
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"19. Death","19. Death
An unthinkable turn of fate has led our players to stand against the Obzedat, Ghost Council of the Orzhov. The fate of Ravnica lies in their hands if only they can discover one crucial point; how do you kill those who are already dead?
Our Sponsors
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Landree Fleming
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music and additional scoring by Alex Nakarada of SerpentSound Studios
Additional Music by:
- Alexander Nakarada of SerpentSound Studios
- Serge Narcissoff
- “A Little Faith”, ""Chase"", ""Chee Zee Cave"", ""Classic Horror 1"", ""Classic Horror 3"", ""Constance"", ""Crossing the Chasm"", ""Disconcerned"", ""Exotic Battle"", ""Fantastic Dim Bar"", ""Feral Chase"", ""Hero Down"", ""Hiding Your Reality"", ""Morgana Rides "", ""Mountain Emperor"", ""Mystic Force"", ""Stoneworld Battle"", ""Stormfront""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"18. A Very Special Offering","18. A Very Special Offering
A black winged angel has forsaken her Boros ties, and stands between the party and their goal. Teysa and her team take on the congregation, until an unexpected sacrifice brings an emotional loss.
Our Sponsors
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Landree Fleming
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music and additional scoring by Alex Nakarada of SerpentSound Studios
Additional Music by:
- Alexander Nakarada of SerpentSound Studios
- Serge Narcissoff
- ""An Upsetting Theme"", ""Chase"", ""Chee Zee Cave"", ""Constance"", ""Crossing the Chasm"", ""Dark Walk"", ""Exotic Battle"", ""Feral Chase"", ""Hiding Your Reality"", ""Morgana Rides "", ""Mountain Emperor"", ""Mystic Force"", “Schmetterling”, ""Showdown"", ""Soaring"", ""Stoneworld Battle"", ""Stormfront"", ""The Chamber"", ""Unnatural Situation""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"17. A Ghostly Summons","17. A Ghostly Summons
The true intention of Teysa’s contract has been revealed and now the players are caught in a litigation whirlwind. Like it or not, their next target is the Ghost Council.
Our Sponsors
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Landree Fleming
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music and additional scoring by Alex Nakarada of SerpentSound Studios
Additional Music by:
- Alexander Nakarada of SerpentSound Studios
- Serge Narcissoff
- ""Ancient Rite"", ""Energizing"", ""Flighty Theme"", ""Oppressive Gloom"", ""Satiate - only strings"", ""Sneaky Adventure"", ""Umbrella Pants""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By ”
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"16. The Long Way Round","16. The Long Way Round
The discovery of undead wurmcallers shakes the very understanding of our player's situation. As the pieces fall into place, the party decides the next course of action is a little city planning.
Our Sponsors
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Landree Fleming
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music and additional scoring by Alex Nakarada of SerpentSound Studios
Additional Music by:
- Alexander Nakarada of SerpentSound Studios
- ""Ancient Rite"", ""Energizing"", ""Flighty Theme"", ""Oppressive Gloom"", ""Satiate - only strings"", ""Sneaky Adventure"", ""Umbrella Pants""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"15. A Moral Quandary","15. A Moral Quandary
Overwhelmed by enemy forces, our players stand on their last legs against the mighty shaman, Nikya. What terrible force grants her such power? The answer may be exactly as bad as they fear.
Our Sponsors
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Landree Fleming
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music and additional scoring by Alex Nakarada of SerpentSound Studios
Additional Music by:
- Alexander Nakarada of SerpentSound Studios
- ""Arcane"", ""Five Armies"", ""Hot Pursuit"", ""Long note One"", ""Lotus"", ""Prelude and Action"", ""Quiet Panic"", ""Scattershot""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"14. Raid on the Zhur-taa","14. Raid on the Zhur-taa
The time has come to crush the Zhur-taa and reclaim the orb they possess. Our players lend their might to the Ghor Clan, but will it be enough to stop a horde of corrupted berserkers?
Our Sponsors
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Landree Fleming
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music and additional scoring by Alex Nakarada of SerpentSound Studios
Additional Music by:
- Alexander Nakarada of SerpentSound Studios
- Serge Narcissoff
- ""Accralate"", ""Arcane"", ""Clash Defiant"", ""Crossing the Chasm"", ""Death and Axes"", ""Firebrand"", ""Hit the Streets v2"", ""Hot Pursuit"", ""Infados"", ""Round Drums"", ""StompDance"", ""Tafi Maradi no voice"", ""Take a Chance""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"13. The Hate Seed","13. The Hate Seed
With the truth of Marit Lage revealed, our players test themselves against her unfiltered corruption. Now they must face their failure as well as the future.
Our Sponsors
10% off with Code: PARTY
10% off with Code: PARTY
10% off with Code: ENCOUNTER
10% off with Code: ENCOUNTER
Free Shipping over $50: ENCOUNTER2
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Landree Fleming
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music and additional scoring by Alex Nakarada of SerpentSound Studios
Additional Music by:
- Alexander Nakarada of SerpentSound Studios
- ""Black Vortex"", ""Chase"", ""Chee Zee Caves V2"", ""Crossing the Chasm"", ""Grave Blow"", ""Hitman"", ""Long note One"", ""Prelude and Action"", ""Rising Tide"", ""The Escalation""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
"12. Dark Depths","12. Dark Depths
In the ruined remains of forgotten library, the party learns the true horror of what they face.
Our Sponsors
Powered by RedCircle
Episode Credits
Produced by Play+1 and Charging Moose Media
Based on the worlds of Dungeons & Dragons and Magic: the Gathering by Wizards of the Coast
Story by Brian David Judkins
Featuring:
Andrew Krug
David Huynh
Landree Fleming
Ned Donovan
Sarah Babe
Sound Capture and original Sound Effects by Will Melones
Theme Music by Alex Nakarada of SerpentSound Studios
Additional Music by:
- Alexander Nakarada of SerpentSound Studios
- ""Dragon and Toast"", ""Lightless Dawn"", ""Long note One"", ""Long Note Two"", ""Sneaky Adventure"", ""Spider Eyes"", ""Unnatural Situation""
Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/
Edited by Ned Donovan and Katie Browe
Mixed by Ned Donovan
Special Thanks:
Megan Judkins
Will Melones
Transcript
Coming Soon
Comments (0)
Newest First
Oldest First
Newest First
Most Liked
Least Liked
Subscribe via e-mail
Preview Post Comment…"
