skill,backward_text,original_name
History," nodded accepting the parcel by ’s hands, in meantime he searched his memory to find out whether this axe had any worth beyond the iron which it was made of, or if it was mentioned in any song that was sung along the Anduin valleys. In fact it seemed weird to him that the hermit took so much care of it crazy as it was. ",Lore
Performance," nodded accepting the parcel by ’s hands, in meantime he searched his memory to find out whether this axe had any worth beyond the iron which it was made of, or if it was mentioned in any song that was sung along the Anduin valleys. In fact it seemed weird to him that the hermit took so much care of it crazy as it was. ",Song
Performance,"""Aye, give me but a moment to study this piece.""Larsi would carefully inspect the piece, thinking of all he could in his ancestral crafts.  ",Craft
Medicine,"(Healing roll: to see if he can remember anything that can ease the mind of the hermit: what a surprise, he rolls an eye)All of 's memories of assisting wounded people or animals comes from his hunting days - cuts, scrapes, easing the pain of a wounded animal: nothing of use for the mental turmoil of the owner of this strange campsite.Reluctantly he turns in: he has only one fact at his disposal - chewing the bark of a willow tree can dull the sense of pain. But the Hermit has no physical injury other than malnutrition.He will sleep lightly tonight; it is still at the back of his mind that the Hermit might wake and attack them in the night. He would prefer the last watch so he will wake the others at the dawn - if it has stopped raining. ",Healing
Survival,(OOC: Travel roll. Do we need even to test corruption? ,Travel
Performance,"Walking along the path with his companions, stood silent musing upon the weird event of the last night and the axe the hermit had given to him. Then he tried to counter the strangely warm and oppressive atmosphere and the sense of sleepiness that was creeping into him singing the song of the wolfbiter or what he could recall of it.“Back was the iron and the edge was keenWhen it was forged in the days of old when the Sun was young and leaves were greenin the battle was prized more than gold…” ",Song
Survival,(Travel roll:)(OOC: RATS! RATS = Rolls Awful Travel Score) (So what's the penalty?) ,Travel
Survival,(Travel check) ,Travel
Survival,"(rolls Explore to keep in character and suggest why he wasn't paying attention to the path ahead.. or something similar). As the party move along, is gazing around him. The atmosphere is breaking his concentration on his main task of checking around the party for travelling advantages... (will roll  1 die LESS than usual) ",Expore
Deception,OOC: corruption test. ,Corruption
Deception,"(That would be Larsi)Larsi would see the well, wary about what it was, and would see a way best around it. ",Corruption
Survival,"(That would be Larsi)Larsi would see the well, wary about what it was, and would see a way best around it. ",Travel
Survival,"Still full of trepidation, will roll Explore for the area, and Awareness for any sounds or clues...(Now that's a good explore finally, what is all around the well?) will look all over the ground and leave no stone unturned. While doing this he looks around the clearing area. It's not a very detailed look, but he should notice any movement in the deeper shadows if anything emerged while he is poking around. The sense of unease he had while looking down into the well grows on him as he searches.  He begins to feel his muscles tense up, and he chooses to string his bow... ",Explore
Perception,"Still full of trepidation, will roll Explore for the area, and Awareness for any sounds or clues...(Now that's a good explore finally, what is all around the well?) will look all over the ground and leave no stone unturned. While doing this he looks around the clearing area. It's not a very detailed look, but he should notice any movement in the deeper shadows if anything emerged while he is poking around. The sense of unease he had while looking down into the well grows on him as he searches.  He begins to feel his muscles tense up, and he chooses to string his bow... ",awareness
Perception,"like it or not, we have stopped. Jot is on guard.  Uggg. Falling asleep... ",Awareness
Athletics," , where are you going?!?  That is not your Mother!He successfully grabs the boy in a hug ",Athletics
Survival,"these lands are protected by Beorn’s folk, so there is little danger of bandits ",travel
Survival,(OOC: Traval roll) ,Travel
Survival,travel roll  (fatigue I am sure..) ,Travel
Survival,"""Aye, I miss the mountains of my home, but I am in rush to return to it. I will go where we decide.""(Travel check as asked) ",Travel
Perception,"The Wood Elf Ranger had been dwelling on the events in his past that had set him upon the path he was currently traveling.  His attention was drawn back to the present.  The woods had suddenly gone quiet, as the darkness fell in the area.  To silent, Keridan focused his senses to try and decipher what may of caused it.  As always, when in such a enviroment.  He was ready to swiftly draw back and fire the nocked arrow on his longbow's bowstring.  Which he held in place against the arrow rest, by the forefinger of his left hand, that gripped the ranged weapon.   ",Perception
Perception,"Narrowing his eyes he looks up the hill. Gripping the handles of both his short sword and dagger he tenses, ready to spring them from their sheaths. Straining his sight to the very edges of his darkvision, he searches the darkness for the cause of his unease. ",Perception
Perception,"Not wanting to be accidently taken for being a sneak-thief or the like.  Keridan puts the arrow he had readied on his longbow's string back in his quiver and slung the ranged weapon over his shoulder.  With empty hands held out before him.  He slowly walks forward into the torch lite, looking about the place.  Saying calmly in Common.  ""Hail sentry, I am a traveler who seeks entry into the Port.  May I pass within""? ",Perception
Perception,"Taking the flask back, Bree takes a moment to look around to see if anyone is paying attention to them given their conversation a minute ago. Finishing the rest of the flask off and shaking her head ""This is as far east as I have been, but most of my time has been spent in the forest.""  She thinks for a second before continuing ""I don't even know anything about this town.  I just stopped here to ""pay my fee"" for keeping my bow.""  Thinking of that brings a scowl to her face for a moment.""How about you?  What brought you here?"" ",perception
Insight," watches Tess run back in, and then leans in towards Bree.""She said she was fine...""Silently, the Genasi continues on with her meal.""When would you like to go on the road again, Breanna of the Clan Ironhammer of Thuria?"" ",Insight
Perception," nods and exits the place, waiting patiently for Breanna to pay her dues. While she is outside, she looks around for another location or shop where locals might be more inclined to chat... ",Perception
Perception,Bree thanks Tess for the ale and the directions while looking around. ,perception
Perception,"Smiling Bree takes and ale and again says ""Thank you for your kindness and help.""  with that she turns to leave looking for as she exits the building, all the while being mindful of her surroundings.""Oye "" ",perception
Perception,"""Aye, my friend that I do.""  As they walk away Bree looks around while lowering her voice and leaning towards .  ""Tess suggested we check out some of the shops in the alleys on our way."" Looking around again, ""I also noticed several clergy of the Three and many guards inside eating, I think Tess did not feel safe talking about it. She definitely sent us in this direction though.""""So why don't we go through the markets and see what is for sale and look for alleyways as well.""  With that Bree straightens up and looks around the market area to see if there are any alleys in the area.""Besides we probably could use a tarp or tent outside of town."" as Bree heads in the direction of the shops  ",perception
Perception," shouts to Nar, I'll go! as she darts into the shroud of mist in pursuit of the undead, , , and the bloodstone... ooc: AwarenessOnce a few yards from Leofric, Nar, and the horses; immediately lost sight of her companions that had been abducted. ",Awareness
Perception," rides with Adamant close by his side. Having the bear close gives him comfort as does knowing that had been freed from bearing the stone. She seemed more like her old self and that gave him hope. ]Traveling across the moor, wrapped himself in his thick traveling robe for protection, but still the wind lashed at his face and hands. They must be almost there. A dismal place for the storied Elf haven. Uncharitable thoughts came to unbidden and he found it difficult to suppress them.  ooc: Roll includes the mastery die for the Druadan bracelet and +5 for Stiff Neck ",Awareness
Perception,"Since leaving the Elven-sanctuary, found herself glad to be nearing the end of the long journey from the now distant homeland of and Leofric. The Ranger trots along behind her friends so she may better watch over the Company (especially Nar) and their surroundings. She was the Lookout after all!If there was one thing hated, it was wind. Wind made everything more difficult than necessary and if strong enough, or blowing from the right direction; was even capable of robbing one of their ability to stay warm.ooc: Awareness ",Awareness
Perception,"Amdir and Bramnir stroll over to the crowd. (Bramnir can say it is a professional interest that delays his arrival at the office. As he will scan the crowd for pickpockets!)  At Amdir's request, Donar will tag along. It is a dwarven street and Donar can help with any dwarven words or customs. Donar is also very good at spotting a bargain...(If possible, Amdir will spot Zake and (and ?) and beckon them over: they can walk back to the Scale together after looking over this unusual attraction: it will give them all a few moments to talk with Bramnir before he has to depart - and they can assist if he does find a cutpurse.)""Donar, what do you make of this dwarf; he seems to be the only one not upset at the news? He is doing a roaring trade. Mind you some of those boxes: is that what you would call the 'Finger Craft'?""Amdir will roll Awareness in case he catches anything as they move amongst the crowd. He will attempt Insight on the toy salesman to see if he is happy with the days events or business)ASide: to Bramnir ""Does your training suggest anything odd about this Dwarf? Is this crowd a bit taken in by this dwarf's patter? They are quite a vocal lot...""  ",Awareness
Insight,"Amdir and Bramnir stroll over to the crowd. (Bramnir can say it is a professional interest that delays his arrival at the office. As he will scan the crowd for pickpockets!)  At Amdir's request, Donar will tag along. It is a dwarven street and Donar can help with any dwarven words or customs. Donar is also very good at spotting a bargain...(If possible, Amdir will spot Zake and (and ?) and beckon them over: they can walk back to the Scale together after looking over this unusual attraction: it will give them all a few moments to talk with Bramnir before he has to depart - and they can assist if he does find a cutpurse.)""Donar, what do you make of this dwarf; he seems to be the only one not upset at the news? He is doing a roaring trade. Mind you some of those boxes: is that what you would call the 'Finger Craft'?""Amdir will roll Awareness in case he catches anything as they move amongst the crowd. He will attempt Insight on the toy salesman to see if he is happy with the days events or business)ASide: to Bramnir ""Does your training suggest anything odd about this Dwarf? Is this crowd a bit taken in by this dwarf's patter? They are quite a vocal lot...""  ",Insight
Persuasion,"sees Amdir waving at him as he and were heading to the Missing Scalenotices the dwarf drawing a crowd...""Wow that is amazing!  I am Zake from Laketown, I am a businessman and I think we should talk.  I can open many markets for you due to my experience on the lake and river.  I reach no lands nobody else can!""ooc: use hope of 10 if it helps (dang it!) ",Courtesy
Insight,"(This is exactly the sort of thing a good officer needs to nip in the bud) (insight first to read the crowd, and the 2 dwarves)Will add Hope +6 if it is important ",Insight
Persuasion,will try persuade to hold them back ,Persuade
