skill;check_line;backward_text
Nature;MATT: Make a nature check for me, if you don't;She looks back from the inside and goes-- He tried to do it! Error 404! The lip quiver. (laughter) She looks back and goes, "There's a cluster of seaweed inside." Steps into the interior-- doesn't enter the entire structure, but steps in the middle, waiting for any sort of direction from you guys. Deuce, do you want to take a look, make sure that it's not the ravenous variety? I'll look in the door before we sit down. Is this thing giving me a vibe?
Nature;TALIESIN: Nature check, oh no.;Error 404! The lip quiver. (laughter) She looks back and goes, "There's a cluster of seaweed inside." Steps into the interior-- doesn't enter the entire structure, but steps in the middle, waiting for any sort of direction from you guys. Deuce, do you want to take a look, make sure that it's not the ravenous variety? I'll look in the door before we sit down. Is this thing giving me a vibe? Make a nature check for me, if you don't mind.
Nature;TALIESIN: My nature check weirdly sucks.;(laughter) She looks back and goes, "There's a cluster of seaweed inside." Steps into the interior-- doesn't enter the entire structure, but steps in the middle, waiting for any sort of direction from you guys. Deuce, do you want to take a look, make sure that it's not the ravenous variety? I'll look in the door before we sit down. Is this thing giving me a vibe? Make a nature check for me, if you don't mind. Nature check, oh no. I'll help Caleb over to the door.
Persuasion;MATT: Make a persuasion check.;I'll help Beau! Yeah, I know, it's funny how my nature check is terrible. 13. Looking at the seaweed in this interior, it is of the same variety as that which is clustered around the rest of this tower. It is not similar, from what you can tell, to what you encountered at Dashilla's lair in the Diver's Grave. You're not certain if it has any interest in you guys, but it doesn't seem to be reacting to your presence. It doesn't seem to be a problem. We're just going to be here for a minute, and then we'll be on our way. Let me know if you've got any issue, and we'll do our best to stay out of your business.
Perception;MATT: Sure. Make a perception check at first.;cool! That's old business. We've seen that one. As you guys take a short rest, you can use your hit dice to heal up. We'll be inside. Are you doing your thing? No? No, if we're taking a short rest. That's if you don't want a short rest, but you want to roll out. Copy. While we're around down here, can I swim around, look for any other trap doors, or doors, or doors?
Investigation;MATT: Okay. Then make an investigation check.;one. As you guys take a short rest, you can use your hit dice to heal up. We'll be inside. Are you doing your thing? No? No, if we're taking a short rest. That's if you don't want a short rest, but you want to roll out. Copy. While we're around down here, can I swim around, look for any other trap doors, or doors, or doors? Sure. Make a perception check at first. Perception. Four.
Investigation;MATT: Make an investigation check.;Careful as you head out there. You don't know what's above you. He cares about you. The tendrils that are from its head that you saw trailing behind it are as long as the length of its body. There's about 12 of them that drift behind it, though they're all limp now, and it just lies there, destroyed. It's wearing an old, slightly tattered robe, who knows how ancient. That's as much detail as you can make off of it, other than its jaws limply hanging open, these dull lifeless flaps where you can see the toothy interior of its mouth as it hangs. Does its busted-up robe have pockets?
Investigation;MATT: Make an investigation check.;But Yasha's really strong. Sure, but so are you, and you could show him-- Okay. I don't mind. Go on, have fun, take your time. All right? Do you need any money? No, I'm okay right now. Thanks, Mom. This is the body; this is what I was talking about with the tendrils, with the hair and stuff. It's pretty gross. Is there any jewelry or pockets or stuff on it? Keys?
Perception;MATT: Make a perception check.;You glance and look inside, and you appear to be in some sort of a spherical chamber, roughly about 60 feet across, side to side. And I'm at the top of it, right? You're at the top of it, looking down. There are clusters of seaweed. All around it, there's plant life that's embedded in aspects of it. A bunch of the seaweed is all coming up and tangling towards the center to create this upward column of plant matter. That's where the roots were, and it was growing up through the tunnel or something? Oof. I don't see any signs of life or light or structures?
Perception;perception check.;and died. I have the second and the third, but that's my logic. I must concede, I don't know how many temples there are. I'm only going off of that art that we saw in the temple. There were three in the art, and there were three balls, and you got the two balls. This is ball three? Ball two. Now, unless there's two holes in here. There should only be one, in theory. I'm taking a long look around during this. Ball two? Wait. You have two in you. Are you looking in the space? Make a
Investigation;MATT: Make an investigation check.;temple somewhere, with another person with dreams like you and Avantika, who has already done this? This could be the final piece of the puzzle, if we understand the carvings we saw correctly, even. We don't actually know, do we? No. Could you ask your god? Could you ask him? How do I do that, Jester? Well, do it like I do to the Traveler-- Does he answer you when you talk to him? Yeah. He does? I'm going to start looking around. Hey, Traveler!
Investigation;With that crazy investigation check of yours, did;I will need some time. I heard you whispering about this bauble, so I will begin on it. Well, the glass sphere makes me nervous. I feel like I heard of things like this before. Well, if someone has seen us through it, they already have. My question to you-- oh. They could see us through the glass sphere? In theory. I sat down on the floor-- oh shoot. I cannot do it now because my books are in your bag. If I take them out, they would be ruined. Yeah, I haven't opened it. Don't worry. That's okay. We can do it on the ship.
Investigation;MATT: Make an investigation check for me.;With that crazy investigation check of yours, did you find any recessions in the floor? Yeah. Just one? Yeah. Can I get a closer look at the skeleton with the armor to see if the armor looks identifiable? The armor is studded leather. It's well made. There's a bunch of black sediment and general slime and grime from the red plant life that's gathered around the various plates of it that are fastened together, but it rubs off relatively easily. It's well made. No iconography? No identifying symbols?
Medicine;MATT: Make a medicine check.;outside, on the inside of the shoulder and the back of the plate, you can see faintly pressed runes. Yeah! Magic armor! Too clean to be normal. I don't recognize that armor, do I? Not really. I'm going to point out, I'd be careful. Whatever this armor is, it didn't seem to help this fellow much. That's a good point. What do you think killed him? Does he look like his appendages are all attached? Any cracks on the skull or face or any sort of--
Perception;MATT: You may. Make a perception check with;Yeah. All right. Making that route-- you're giving the direction-- the sails pick up and the ship begins moving. As the ship turns around the corner and you're glancing as it makes its way in your direction, no colors flying. Similar size, if a little bit smaller than your ship. As a first mate... Correct. Do I get a dope first mate kit, like a spyglass? There is a spyglass on board, as part of the equipment. Can I use the spyglass?
Survival;to make a survival check as you are currently;and hit them with our starboard cannons. Get around that little piece of... No, we're still out of range. We've only got three cannons on the starboard side, though, if we turn to port side-- We're still out of range by 300, 400 yards. I can't do anything until they're 300 feet away anyway. Sure, yeah, let's aim to hug the coast on the starboard side. Okay. As you guys maneuver and tend to hang in close, making your way in towards the island, they do gain a little bit of distance. I need you
Survival;TRAVIS: Negative two to survival checks, y'all.;feet away anyway. Sure, yeah, let's aim to hug the coast on the starboard side. Okay. As you guys maneuver and tend to hang in close, making your way in towards the island, they do gain a little bit of distance. I need you to make a survival check as you are currently leading the ship to try and avoid any sort of heavy rocks and things along the side of the island. That is a three. Because I would be doing this as well, can I give advantage to that, or can I roll as well on that? No, he has to roll on that. He's the captain, unfortunately, yeah.
Perception;MATT: Make a perception check.;a second wind! Nah. (laughter) I want to kill things with my cannons! You're not shooting that great anyway. I think probably this was for the best. You can see shards of wood all scattered in the area around it, and the boat is sinking. Between the impact of being capsized by the wave, the blast of the cannon fire, and the fact that you're so close to the edge of the island put it in a position where it can't right itself. What do we see in the way of survivors swimming about?
Investigation;on that investigation check. What are the five things?;don't know specifically, but there does not appear "to be a manhunt. Just be careful." My momma says everything's okay! We just got to be careful. I think that's the plan. Caleb, you want to take time to Identify your goodies? I certainly do. I hand Caleb the leather armor as well. Thank you, Beauregard. Mm-hmm. I will go back to Nott and my quarters, and pull out the book, and take less than an hour to-- there's five things now. Okay. Yeah, because you rolled really high
Perception;MATT: Make a perception check.;cloth of its body suddenly scatter, like someone had blown a heavy wind into a stack of loose cloth that all eventually turns into ash and vanishes. There, you see a dull blue glow where the sword is grinding against the stone, before that eventually dissipates into nothingness. Yeah, ghostslayer! Last pot! Good job, Molly. Beau, your stun wears off. That guy knew way too much about everything. Caleb. Can I see that last pot from where I am?
